"Tipo";"Nombre";"Dirección";"C.Postal";"Provincia";"Municipio";"Localidad";"Nucleo";"Teléfono 1";"Teléfono 2";"Teléfono 3";"Fax";"Email";"web";"Q Calidad";"Central Reservas";
"Albergue turístico de los Caminos a Santiago";"LA CRUZ DE FIERRO";"C/ REAL, S/N";"24722";"León";"Santa Colomba de Somoza";"FONCEBADON";"FONCEBADON";"699752144";"";"";"";"";"";"";"";
"Albergue de peregrinos sin fin lucrativo";"SAN NICOLAS EL REAL";"C/ SAN NICOLAS, 4";"24520";"León";"Villafranca del Bierzo";"VILLAFRANCA DEL BIERZO";"VILLAFRANCA DEL BIERZO";"987566529";"";"";"";"";"www.sannicolaselreal.com";"";"";
"Albergue turístico";"ADOLFO ESPINOSA";"AVDA/DIONISIO ROMÁN ZALDO, 15";"09260";"Burgos";"Pradoluengo";"PRADOLUENGO";"PRADOLUENGO";"947586664";"626084895";"";"";"info@alberguepradoluengo.com";"www.alberguepradoluengo.com";"";"";
"Albergue turístico de los Caminos a Santiago";"ALEA";"C/ TELENO, 33";"24401";"León";"Ponferrada";"PONFERRADA";"PONFERRADA";"987404133";"699065061";"";"";"TELENO33@GMAIL.COM";"";"";"";
"Albergue de peregrinos sin fin lucrativo";"BETANIA";"AVDA DEL EJÉRCITO ESPAÑOL Nº 26-1ºB";"34440";"Palencia";"Frómista";"FROMISTA";"FROMISTA";"638846043";"";"";"";"betaniafromista@gmail.com";"";"";"";
"Albergue turístico superior de los Caminos a Santiago";"CAMYNOS";"CR ANTIGUA NACIONAL VI, 43";"24524";"León";"Vega de Valcarce";"AMBASMESTAS";"AMBASMESTAS";"609381412";"";"";"";"camynos@gmail.com";"www.camynos.es";"";"";
"Albergue turístico";"CAMINO DE LIS";"RINCONADA DE LOS DOLORES, Nº 6";"40100";"Segovia";"Real Sitio de San Ildefonso";"SAN ILDEFONSO O LA GRANJA";"SAN ILDEFONSO O LA GRANJA";"676927100";"921470984";"662094929";"";"info@alberguelagranja.es";"www.alberguelagranja.es";"";"";
"Albergue turístico de los Caminos a Santiago";"LEO";"C/RIBADEO, Nº 10";"24500";"León";"Villafranca del Bierzo";"VILLAFRANCA DEL BIERZO";"VILLAFRANCA DEL BIERZO";"658049244";"";"";"";"gallegomaria77@gmail.com";"";"";"";
"Albergue turístico superior";"FUNDACION TORMES - EB";"FINCA ALDEHUELA DE TORMES s/n";"37115";"Salamanca";"Almenara de Tormes";"ALMENARA DE TORMES";"ALMENARA DE TORMES";"923170108";"654776572";"";"";"contacta@fundaciontormes-eb.org";"www.fundaciontormes-eb.org";"";"";
"Albergue de peregrinos sin fin lucrativo";"ALBERGUE DE PEREGRINOS DE PEÑAFLOR DE HORNIJA";"C/ HOSPITAL, 4";"47640";"Valladolid";"Peñaflor de Hornija";"PEÑAFLOR DE HORNIJA";"PEÑAFLOR DE HORNIJA";"983565102";"";"";"983565102";"ayto.penaflor@dip-valladolid.es";"";"";"";
"Albergue de peregrinos sin fin lucrativo";"ALBERGUE MUNICIPAL DE PEREGRINOS DE INVIERNO";"C/ ANTONIO NICOLAS, 55";"24320";"León";"Sahagún";"SAHAGUN";"SAHAGUN";"987780001";"662147431";"";"987781000";"INFO@SAHAGUN.ORG";"WWWW.VILLADESAHAGUN.ES";"";"";
"Albergue turístico de los Caminos a Santiago";"ALBERGUE CAMINO FRANCES";"C/ REAL, 68";"24288";"León";"Villares de Órbigo";"SANTIBAÑEZ DE VALDEIGLESIAS";"SANTIBAÑEZ DE VALDEIGLESIAS";"987603158";"987361014";"";"";"bln_182@hotmail.com";"";"";"";
"Albergue turístico superior";"CASA DE LAS CRUCERAS";"C/ LAS CRUCERAS, S/N";"05278";"Ávila";"Barraco (El)";"CRUCERAS (LAS)";"CRUCERAS (LAS)";"670757980";"914311608";"";"";"info@lascruceras.com";"www.lascruceras.com";"";"";
"Albergue turístico superior de los Caminos a Santiago";"ULTREIA";"CL/REAL DE ORIENTE, 77";"09110";"Burgos";"Castrojeriz";"CASTROJERIZ";"CASTROJERIZ";"947378640";"";"";"";"albergue.ultreia.castrojeriz@gmail.com";"";"";"";
"Albergue de peregrinos sin fin lucrativo";"ALBERGUE MUNICIPAL DE CALZADILLA DE LA CUEZA";"C/ MAYOR Nº 1";"34309";"Palencia";"Cervatos de la Cueza";"CALZADILLA DE LA CUEZA";"CALZADILLA DE LA CUEZA";"670558954";"";"";"";"secretario@cervatosdelacueza.es";"";"";"";
"Albergue turístico superior";"LA CASONA";"C/ CALZADA, S/N";"40410";"Segovia";"Espinar (El)";"SAN RAFAEL";"SAN RAFAEL";"921171412";"649841133";"";"921171468";"direccion@lacasonasanrafael.com";"www.lacasonasanrafael.com";"";"";
"Albergue turístico de los Caminos a Santiago";"SANTO TOMAS DE CANTERBURY";"C/ LA LASTRA, 53";"24005";"León";"León";"LEON";"LEON";"987392626";"629757899";"";"";"alberguesantotomas@terra.com";"www.alberguesantotomas.com";"";"";
"Albergue turístico";"HOSTEL URBAN RIO CEA";"C/ LEGION VII, Nº 6 - 2ºI";"24001";"León";"León";"LEON";"LEON";"639179386";"";"";"";"info@HOSTELURBANRIOCEA.COM";"www.hostelurbanriocea.com";"";"";
"Albergue de peregrinos sin fin lucrativo";"ALBERGUE MUNICIPAL DE PEREGRINOS";"Avda. Ángel de la Vega del Barrio, nº 27";"49740";"Zamora";"Granja de Moreruela";"GRANJA DE MORERUELA";"GRANJA DE MORERUELA";"980587183";"682497496";"";"980587005";"";"";"";"";
"Albergue turístico";"NARAYA";"AVDA/GALICIA, 506";"24410";"León";"Ponferrada";"FUENTES NUEVAS";"FUENTES NUEVAS";"987450357";"659189621";"";"";"";"";"";"";
"Albergue turístico";"EL PATIO DE AMAYUELAS";"PLAZA DE LA IGLESIA";"34429";"Palencia";"San Cebrián de Campos";"AMAYUELAS DE ABAJO";"AMAYUELAS DE ABAJO";"979154161";"";"";"";"elpatiodeamayuelas@hotmail.com";"";"";"";
"Albergue turístico superior";"ALBERGUE VALPORQUERO";"CTRA LEON COLLANZO, 15";"24836";"León";"Vegacervera";"VEGACERVERA";"VEGACERVERA";"987591009";"987082083";"616108979";"";"";"CONTACTO@ALBERGUEVALPORQUERO.COM";"";"";
"Albergue turístico superior de los Caminos a Santiago";"SANTA FE";"CL/LOS HUERTOS, 2";"09192";"Burgos";"Cardeñuela Riopico";"CARDEÑUELA RIOPICO";"CARDEÑUELA RIOPICO";"947560722";"626352269";"";"";"alberguesantafe@hotmail.com";"";"";"";
"Albergue turístico de los Caminos a Santiago";"ITERO DEL CASTILLO";"CL/EL SOL, 1";"09107";"Burgos";"Itero del Castillo";"ITERO DEL CASTILLO";"ITERO DEL CASTILLO";"697335012";"947377337";"";"947377337";"iterodelcastillo@diputaciondeburgos.net";"";"";"";
"Albergue turístico";"LA ALAMEDA";"C/ Alameda, nº 21";"49333";"Zamora";"Villanueva de las Peras";"VILLANUEVA DE LAS PERAS";"VILLANUEVA DE LAS PERAS";"980590346";"";"";"";"";"";"";"";
"Albergue turístico";"LA CASA DEL PEREGRINO";"CARRETERA DE COMPLUDO, S/N";"24413";"León";"Molinaseca";"ACEBO";"ACEBO";"987057793";"";"";"987057793";"lacasadelperegrino@gmail.com";"";"";"";
"Albergue turístico";"SANTIBÁÑEZ DE ZARZAGUDA";"CL/SIERVAS DEL SAGRADO CORAZÓN, 1";"09150";"Burgos";"Valle de Santibáñez";"SANTIBAÑEZ-ZARZAGUDA";"SANTIBAÑEZ-ZARZAGUDA";"947-257707";"";"";"";"info@voluntared.org";"www.voluntared.org";"";"";
"Albergue turístico de los Caminos a Santiago";"LA POSADA DEL DRUIDA";"C/ REAL, S/N";"24722";"León";"Santa Colomba de Somoza";"FONCEBADON";"FONCEBADON";"696820136";"";"";"";"";"";"";"";
"Albergue turístico de los Caminos a Santiago";"MONASTERIO DE SAN JUAN DE ORTEGA";"CL/de la Iglesia, 1";"09199";"Burgos";"Barrios de Colina";"SAN JUAN DE ORTEGA";"SAN JUAN DE ORTEGA";"947560438";"635742060";"";"";"albergue@alberguesanjuandeortega.es";"www.alberguesanjuandeortega.es";"";"";
"Albergue turístico";"EL DESCANSO DEL HACEDOR";"CL/MEDINA, 2";"09211";"Burgos";"Oña";"BARCINA DE LOS MONTES";"ALDEA (LA)";"617130115";"";"";"";"eldescansodelhacedor@gmail.com";"";"";"";
"Albergue turístico";"MURALLA LEONESA";"C/ TARIFA, 5";"24003";"León";"León";"LEON";"LEON";"665577273";"622696205";"";"";"bernardovillamagna@gmail.com; albergueleon@hotmail.com";"www.alberguemurallaleonesa.es";"";"";
"Albergue turístico";"SAN ANTON";"C/ SAN ANTON, 27";"05591";"Ávila";"Villanueva del Campillo";"VILLANUEVA DEL CAMPILLO";"VILLANUEVA DEL CAMPILLO";"920235362";"685818877";"";"";"lolijimenezmunoz@hotmail.com";"www.ctrsananton.es";"";"";
"Albergue de peregrinos sin fin lucrativo";"EBALO";"C/ LA FE, 24";"24343";"León";"Burgo Ranero (El)";"BURGO RANERO (EL)";"BURGO RANERO (EL)";"6779490521";"";"";"";"";"";"";"";
"Albergue turístico";"ALBERGUE SIERRA DEL BREZO";"POBLADO DE COMPUERTO - Ctra. de Valcobero, S/N";"34886";"Palencia";"Velilla del Río Carrión";"VELILLA DEL RIO CARRION";"VELILLA DEL RIO CARRION";"979861313";"699928419";"";"";"sierradelbrezo@gmail.com";"www.sierradelbrezo.com";"";"";
"Albergue turístico de los Caminos a Santiago";"LA BARRACA";"REAL, S/N";"24718";"León";"Brazuelo";"GANSO (EL)";"GANSO (EL)";"987691808";"628635819";"";"";"";"";"";"";
"Albergue turístico de los Caminos a Santiago";"HORNILLOS MEETING POINT";"CL/CANTARRANAS, 3";"09230";"Burgos";"Hornillos del Camino";"HORNILLOS DEL CAMINO";"HORNILLOS DEL CAMINO";"600660994";"";"";"";"";"";"";"";
"Albergue turístico";"ESTACION DE NAVALENO";"CTRA. CANICOSA, KM. 3";"42149";"Soria";"Navaleno";"NAVALENO";"NAVALENO";"685620797";"";"";"";"actividadessherpa@hotmail.es";"";"";"";
"Albergue turístico superior";"EL REBEZO";"C/ CASAS NUEVAS, 4";"24144";"León";"San Emiliano";"TORREBARRIO";"TORREBARRIO";"987594202";"687734337";"";"";"alberguelrebezo@hotmail.com";"www.albergueelrebezo.hol.es";"";"";
"Albergue de peregrinos sin fin lucrativo";"VIATORIS";"TRAVESIA DEL ARCO, 31";"24320";"León";"Sahagún";"SAHAGUN";"SAHAGUN";"679977828";"987780975";"";"";"aaocho@hotmail.com";"www.viatoris.es";"";"";
"Albergue turístico";"GOINA";"C/ Sopenilla, s/n";"34839";"Palencia";"San Cebrián de Mudá";"SAN CEBRIAN DE MUDA";"SAN CEBRIAN DE MUDA";"979605823";"979605885";"666229574";"979605823";"miradorsancebriandemuda@hotmail.com";"";"";"";
"Albergue turístico";"MISIONEROS ESPIRITANOS CASTRILLO DE LA VEGA";"CTRA. NACIONAL 122, KM. 275,7";"09391";"Burgos";"Castrillo de la Vega";"CASTRILLO DE LA VEGA";"CASTRILLO DE LA VEGA";"947257707";"609384574";"";"";"info@voluntared.org";"www.alberguesenburgos.es";"";"";
"Albergue turístico";"LA ESTACION DEL RIO LOBOS";"CL/ESTACION, S/N";"09660";"Burgos";"Hontoria del Pinar";"HONTORIA DEL PINAR";"HONTORIA DEL PINAR";"651956661";"";"";"947650514";"sergio@laestaciondelriolobos.com";"www.laestaciondelriolobos.com";"";"";
"Albergue turístico superior";"LA CASA GRANDE";"CL/ICEDO, 36";"09550";"Burgos";"Merindad de Valdivielso";"QUINTANA DE VALDIVIELSO";"QUINTANA DE VALDIVIELSO";"947303096";"605881983";"";"";"info@lacasagrandeburgos.es";"www.lacasagrandeburgos.es";"";"";
"Albergue turístico";"PUEBLO-ESCUELA DE ABIONCILLO";"LA PLAZA, 3";"42193";"Soria";"Calatañazor";"ABIONCILLO DE CALATAÑAZOR";"ABIONCILLO DE CALATAÑAZOR";"975183260";"669426950";"";"975183260";"coopabion@gmail.com";"www.escuela-abioncillo.com";"";"";
"Albergue turístico superior";"LA ESPUELA";"FINCA LA ESPUELA/URBANIZACION MONTELARGO";"05430";"Ávila";"Adrada (La)";"ADRADA (LA)";"ADRADA (LA)";"918671528";"616079169";"";"";"info@turismorurallaespuela.com";"www.turismorurallaespuela.com";"";"";
"Albergue turístico";"LEON HOSTEL";"ANCHA,8";"24003";"León";"León";"LEON";"LEON";"987079907";"";"";"";"";"";"";"";
"Albergue de peregrinos sin fin lucrativo";"PARADA VILORIA";"CL/Bajera, 37";"09259";"Burgos";"Viloria de Rioja";"VILORIA DE RIOJA";"VILORIA DE RIOJA";"610625065";"";"";"";"majeperez7@yahoo.es";"";"";"";
"Albergue turístico";"ALBERGUE ALDA CENTRO LEON";"LA TORRE, 3-1ºDCHA";"24002";"León";"León";"LEON";"LEON";"987225594";"";"";"";"";"";"";"";
"Albergue turístico superior";"LA FÁBRICA";"CL/CAMINO DE LA FÁBRICA, 27";"09130";"Burgos";"Tardajos";"TARDAJOS";"TARDAJOS";"947451436";"646000908";"";"";"cristina@alberguelafabrica.com";"www.alberguelafabrica.com";"";"";
"Albergue turístico de los Caminos a Santiago";"ALBERGUE MUNICIPAL DE PEREGRINOS";"CALLE  HOSPITAL, s/n";"34440";"Palencia";"Frómista";"FROMISTA";"FROMISTA";"979811089";"686579702";"";"";"";"";"";"";
"Albergue turístico";"CASA DEL MAYORAZGO";"CL/MAYOR, 60";"09615";"Burgos";"Barbadillo de Herreros";"BARBADILLO DE HERREROS";"BARBADILLO DE HERREROS";"947385001";"608222296";"";"";"barbadillodeherreros@hotmail.es";"www.casadelmayorazgo.com";"";"";
"Albergue turístico";"ALBERGUE MUNICIPAL";"CALLE COTONAL";"37419";"Salamanca";"Parada de Rubiales";"PARADA DE RUBIALES";"PARADA DE RUBIALES";"923360001";"";"";"";"ayuntamientodeparada@hotmail.com";"";"";"";
"Albergue turístico";"DE SOL A SOL";"CL/CANTARRANAS, 7";"09230";"Burgos";"Hornillos del Camino";"HORNILLOS DEL CAMINO";"HORNILLOS DEL CAMINO";"649876091";"947065656";"";"";"desolasolrural@hotmail.com";"";"";"";
"Albergue turístico de los Caminos a Santiago";"AGUSTINA";"Plaza El Árbol, nº 13";"49513";"Zamora";"Samir de los Caños";"SAMIR DE LOS CAÑOS";"SAMIR DE LOS CAÑOS";"980688115";"619691063";"";"";"";"";"";"";
"Albergue turístico";"CHECK IN LEON";"AVDA. ALCALDE MIGUEL CASTAÑO, 88";"24005";"León";"León";"LEON";"LEON";"987498793";"987224316";"";"";"ALFONSAN1964@GMAIL.COM";"";"";"";
"Albergue turístico de los Caminos a Santiago";"LA CASA VERDE";"TRAVESIA LA ESTACION,8";"24003";"León";"Valverde de la Virgen";"SAN MIGUEL DEL CAMINO";"SAN MIGUEL DEL CAMINO";"646879437";"";"";"";"";"";"";"";
"Albergue turístico";"AULA DE NATURALEZA EMILIO HURTADO";"Camino de la Barga s/n (Polígono 6 parcela 10)";"40312";"Segovia";"Duruelo";"DURUELO";"DURUELO";"921929731";"628752751";"608746252";"";"aula.naturaleza@colegioelvalle.com";"www.auladenaturalezaemilioh.com";"";"";
"Albergue turístico superior de los Caminos a Santiago";"ALBERGUE MORATINOS";"C/  Real, 12";"34348";"Palencia";"Moratinos";"MORATINOS";"MORATINOS";"979061466";"638222720";"";"979061469";"info@hostalmoratinos.es";"www.alberguemoratinos.es";"";"";
"Albergue turístico";"LA CASA DEL CURATO";"REAL, 14";"42368";"Soria";"Arenillas";"ARENILLAS";"ARENILLAS";"676326303";"633520156";"";"";"arenillas80@hotmail.com";"";"";"";
"Albergue turístico";"EL REFUGIO DEL DRAGON";"C/ CASTILLEJO, Nº 19";"40164";"Segovia";"Arcones";"ARCONES";"ARCONES";"921504156";"609252346";"";"921504156";"elrefugiodeldragon@gmail.com/  jaime_garcia_castillo@hotmail.com";"www.elrefugiodeldragon.com";"";"";
"Albergue turístico de los Caminos a Santiago";"EL ALBERGUE DE ADA";"C/ REAL, Nº 42";"24339";"León";"Santas Martas";"RELIEGOS";"RELIEGOS";"987317895";"691153010";"";"";"PEDRO.PEREIRO@GMAIL.COM";"www.alberguereliegos.es";"";"";
"Albergue turístico";"ALBERGUE ANTONIO";"Calle Orilla del Rio nº 3";"34310";"Palencia";"Becerril de Campos";"BECERRIL DE CAMPOS";"BECERRIL DE CAMPOS";"979810193";"693465737";"";"";"josemarcosf@wanadoo.es";"alberguecanaldecastillabecerril.es";"";"";
"Albergue turístico superior de los Caminos a Santiago";"JUAN DE YEPES";"CL/REAL, 1";"09227";"Burgos";"Hontanas";"HONTANAS";"HONTANAS";"653243385";"";"";"";"juandeyepes@santabrigida.com";"www.alberguessantabrigida.com";"";"";
"Albergue turístico";"MISTIC HOSTEL";"C/ MARQUÉS DE SANTO DOMINGO, 8";"05001";"Ávila";"Ávila";"AVILA";"AVILA";"920041061";"656898740";"";"";"reservas@mistichostel.com";"www.mistichostel.com";"";"";
"Albergue turístico";"ALBERGUE GUIANA HOSTEL";"AVDA DEL CASTILLO, 112";"24401";"León";"Ponferrada";"PONFERRADA";"PONFERRADA";"987409327";"609152037";"";"";"guianahostel@gmail.com";"";"";"";
"Albergue turístico";"MONTAÑA ORIENTAL DE LEON";"LAS ERAS,28";"24800";"León";"Cistierna";"CISTIERNA";"CISTIERNA";"649802641";"";"";"";"";"";"";"";
"Albergue turístico";"LA CASA DEL PÁRAMO";"CL/BARRIUSO, 39";"09142";"Burgos";"Merindad de Río Ubierna";"MASA";"MASA";"690675643";"";"";"";"alberguedemasa@gmail.com";"www.lacasadelparamo.com";"";"";
"Albergue turístico superior de los Caminos a Santiago";"ALBERGUE LA MORENA";"C/ Carretera, 3";"34347";"Palencia";"Ledigos";"LEDIGOS";"LEDIGOS";"979065052";"655877305";"979741195";"979741195";"info@alberguelamorena.com";"www.alberguelamorena.com";"";"";
"Albergue de peregrinos sin fin lucrativo";"ALBERGUE GAIA";"AVDA CONSTITUCION 28";"24210";"León";"Mansilla de las Mulas";"MANSILLA DE LAS MULAS";"MANSILLA DE LAS MULAS";"699911311";"";"";"";"alberguedegaia@hotmail.com";"";"";"";
"Albergue turístico superior";"VILLA DE SALVATIERRA";"C/ SAN JUAN 1";"37779";"Salamanca";"Salvatierra de Tormes";"SALVATIERRA DE TORMES";"SALVATIERRA DE TORMES";"923150552";"606528455";"923150591";"";"albergue.villadesalvatierra@gmail.com";"alberguevilladesalvatierra.es";"";"";
"Albergue turístico";"LA ARBOLEDA";"PARAJE DE LA FUENTE, S/N";"42132";"Soria";"Noviercas";"NOVIERCAS";"NOVIERCAS";"655976024";"";"";"";"alberguelarboleda@noviercas.es";"";"";"";
"Albergue turístico";"EL ALBERGUE DE HERRERA";"Avenida  EUSEBIO SALVADOR MERINO, 59";"34400";"Palencia";"Herrera de Pisuerga";"HERRERA DE PISUERGA";"HERRERA DE PISUERGA";"658892042";"";"";"";"elalberguedeherrera@gmail.com";"www.elalberguedeherrera.com";"";"";
"Albergue turístico";"SAN BLAS";"C/ SAN BLAS, 5";"24490";"León";"Ponferrada";"COLUMBRIANOS";"COLUMBRIANOS";"675651241";"625562553";"";"";"";"";"";"";
"Albergue turístico";"EL RINCON DEL APOSTOL";"CTRA NACIONAL VI, 1, A";"24524";"León";"Vega de Valcarce";"AMBASMESTAS";"AMBASMESTAS";"987543099";"656945201";"";"";"jlagof@terra.es";"www.elrincondelapostol.com";"";"";
"Albergue turístico";"LOS ARANCONES";"CL/LA IGLESIA, 5";"09258";"Burgos";"Tosantos";"TOSANTOS";"TOSANTOS";"947581485";"";"";"";"";"";"";"";
"Albergue turístico de los Caminos a Santiago";"ALBERGUE LA MEDINA";"AVDA. CAMINO DE SANTIAGO, 87";"24410";"León";"Camponaraya";"CAMPONARAYA";"CAMPONARAYA";"667348551";"615019591";"";"";"alberguelamedina@gmail.com";"";"";"";
"Albergue turístico";"CAMPUS DE ZAMORA";"Avda. Príncipe de Asturias, 43";"49029";"Zamora";"Zamora";"ZAMORA";"ZAMORA";"980522150";"687460563";"";"980514384";"reservas@alberguecampus.es";"";"";"";
"Albergue turístico";"LA MINA";"CTRA. PUEBLA DE LILLO A SAN ISIDRO, KM. 32";"24855";"León";"Puebla de Lillo";"PUEBLA DE LILLO";"PUEBLA DE LILLO";"987731196";"";"";"";"INFO@ALOJAMIENTOLAMINA.ES";"WWW.ALOJAMIENTOLAMINA.ES";"";"";
"Albergue turístico superior";"LA CASA DE BELI";"AVDA/General Yagüe, 16";"09130";"Burgos";"Tardajos";"TARDAJOS";"TARDAJOS";"947451234";"";"";"";"lacasadebeli@gmail.com";"www.lacasadebeli.com";"";"";
"Albergue turístico de los Caminos a Santiago";"ALBERGUE SAN MIGUEL";"ALVAREZ VEGA, 35";"24286";"León";"Hospital de Órbigo";"HOSPITAL DE ORBIGO";"HOSPITAL DE ORBIGO";"987388285";"609723632";"";"";"";"";"";"";
"Albergue turístico";"EL PASO";"ANTIGUA N - VI";"24520";"León";"Vega de Valcarce";"VEGA DE VALCARCE";"VEGA DE VALCARCE";"628104309";"";"";"";"";"";"";"";
"Albergue turístico";"LA MADRIGUERA HOSTEL";"LA VIRGEN BLANCA,59";"24006";"León";"León";"LEON";"LEON";"987037886";"";"";"";"INFO@HOSTELLEON.ES";"WWW.LAMADRIGUERAHOSTEL.COM";"";"";
"Albergue turístico de los Caminos a Santiago";"ROSALIA";"CL/Cordón, 2";"09100";"Burgos";"Castrojeriz";"CASTROJERIZ";"CASTROJERIZ";"947373714";"637765779";"";"";"info@alberguerosalia.com";"www.alberguerosalia.com";"";"";
"Albergue turístico";"ALBERGUE DE SANTA MARIA DE LAS HOYAS";"MIRANDA, S/N";"42141";"Soria";"Santa María de las Hoyas";"SANTA MARIA DE LAS HOYAS";"SANTA MARIA DE LAS HOYAS";"975372386";"645574117";"";"";"santamariahoyas@dipsoria.es";"";"";"";
"Albergue turístico de los Caminos a Santiago";"VIVE TU CAMINO";"C/ REAL, Nº 56";"24339";"León";"Santas Martas";"RELIEGOS";"RELIEGOS";"610293986";"";"";"";"";"";"";"";
"Albergue turístico superior";"CASA LIXA";"CALLE CAMINO DE SANTIAGO, 35";"24526";"León";"Vega de Valcarce";"HERRERIAS (LAS)";"HERRERIAS (LAS)";"608528715";"";"";"";"info@casalixa.com";"www.casalixa.com";"";"";
"Albergue turístico";"ALBERGUE MUNICIPAL DE HINOJAR DE CERVERA";"CL/ANGOSTA, 24";"09610";"Burgos";"Santo Domingo de Silos";"HINOJAR DE CERVERA";"HINOJAR DE CERVERA";"947390070";"";"";"";"santodomingodesilos@diputaciondeburgos.net";"";"";"";
"Albergue turístico superior";"ALBERGUE ESCUELA ""CARA NORTE""";"C/ CEROJAL nº 60";"34880";"Palencia";"Guardo";"GUARDO";"GUARDO";"979043008";"912980812";"658798329";"";"info@alberguedeguardo.com";"www.alberguedeguardo.com";"";"";
"Albergue turístico superior de los Caminos a Santiago";"SAN FRANCISCO DE ASIS";"AVDA. ALCALDE MIGUEL CASTAÑO, Nº 4";"24005";"León";"León";"LEON";"LEON";"987215060";"637439848";"";"";"gestion.leon@alberguescapuchinos.org";"www.alberguescapuchinos.org";"";"";
"Albergue turístico superior";"BIDELUZE";"CL/MAYOR, 8";"09259";"Burgos";"Castildelgado";"CASTILDELGADO";"CASTILDELGADO";"616647115";"";"";"";"isabelgarriz@hotmail.com";"";"";"";
"Albergue turístico superior de los Caminos a Santiago";"ORION";"AVDA/DE LA COLEGIATA, 28";"09110";"Burgos";"Castrojeriz";"CASTROJERIZ";"CASTROJERIZ";"649481609";"";"";"";"albergueorion2016@hotmail.com";"";"";"";
"Albergue turístico";"COVENT GARDEN HOSTEL";"C/ ANCHA, Nº 25";"24003";"León";"León";"LEON";"LEON";"987004428";"601082002";"";"";"INFO@HOSTELCOVENTGARDEN.COM";"";"";"";
"Albergue turístico de los Caminos a Santiago";"ALBERGUE MUTATIO ELENA";"C/  CONCEJO, 3, Bº";"37183";"Salamanca";"San Pedro de Rozados";"SAN PEDRO DE ROZADOS";"SAN PEDRO DE ROZADOS";"923344024";"609278013";"";"";"elenagh1970@hotmail.com";"";"";"";
"Albergue turístico";"LA CASONA DE PANCORBO";"CL/REAL, 21";"09280";"Burgos";"Pancorbo";"PANCORBO";"PANCORBO";"947354014";"650021063";"";"";"richi_ricardo@hotmail.com";"";"";"";
